"campaign","species","sample_id","date","T5","T50","T95"
"1","Fagus sylvatica","FREX_01","2020-05-28",48.6139014844106,50.2445745642074,51.1851852076197
"1","Fagus sylvatica","FREX_02","2020-05-28",46.8730583641499,48.1267006656956,48.8461214340555
"1","Fagus sylvatica","FREX_03","2020-05-28",49.2778851815768,50.4383508403805,51.1026840615832
"1","Fagus sylvatica","FREX_04","2020-05-28",48.9001193697732,50.4007072044897,51.2644167578352
"1","Fraxinus excelsior","FREX_05","2020-05-28",36.6835442259816,45.4481985229381,51.2653141192339
"1","Fraxinus excelsior","FREX_06","2020-05-28",43.5329304294974,45.5214088248698,46.6788849168102
"1","Fraxinus excelsior","FREX_07","2020-05-28",43.0163085483958,44.8581122485127,45.9279255427951
"1","Fraxinus excelsior","FREX_08","2020-05-28",39.0741254702008,45.2647637556679,49.1661674939837
"2","Fagus sylvatica","FREX_01","2020-07-09",50.4049653047938,53.3613142517515,55.0987723822632
"2","Fagus sylvatica","FREX_02","2020-07-09",45.732707327936,52.2229195740688,56.2679579707573
"2","Fagus sylvatica","FREX_03","2020-07-09",50.423967515183,52.8244099077674,54.2236914655191
"2","Fagus sylvatica","FREX_04","2020-07-09",51.8506088553517,53.6924289105412,54.7564182144239
"2","Fraxinus excelsior","FREX_05","2020-07-09",33.7488750868491,44.861005921884,52.6451271289402
"2","Fraxinus excelsior","FREX_06","2020-07-09",44.2200352544506,45.7797894647271,46.6806650718746
"2","Fraxinus excelsior","FREX_07","2020-07-09",48.6215011173405,50.6586977911579,51.8411946201055
"2","Fraxinus excelsior","FREX_08","2020-07-09",36.5223273830672,47.7454649461729,55.5077279885468
"3","Fagus sylvatica","FREX_01","2020-08-14",50.5743059107649,52.9917192657208,54.4010968345335
"3","Fagus sylvatica","FREX_02","2020-08-14",50.9478994478941,52.4384377903203,53.2954347515912
"3","Fagus sylvatica","FREX_03","2020-08-14",42.7544249924812,51.6193948248192,57.3873253740918
"3","Fagus sylvatica","FREX_04","2020-08-14",44.58368136518,52.3538357242288,57.3023293420196
"3","Fraxinus excelsior","FREX_05","2020-08-14",48.5616283597959,50.0959438292194,50.979672913282
"3","Fraxinus excelsior","FREX_06","2020-08-14",47.5721579872868,49.5696574864213,50.7291897454681
"3","Fraxinus excelsior","FREX_07","2020-08-14",48.7333467755345,50.1846456835949,51.0194128867031
"3","Fraxinus excelsior","FREX_08","2020-08-14",49.246457535916,50.4389328367238,51.12193647325
"4","Fagus sylvatica","FREX_01","2020-09-23",49.4327040005138,55.4021979967362,59.0692300233379
"4","Fagus sylvatica","FREX_02","2020-09-23",53.0188293579931,56.4837083317601,58.5300464614906
"4","Fagus sylvatica","FREX_03","2020-09-23",48.5650508470747,55.7988023120585,60.3287135187784
"4","Fagus sylvatica","FREX_04","2020-09-23",51.201462145704,56.7017461434177,60.0493479348935
"4","Fraxinus excelsior","FREX_05","2020-09-23",50.5438618956561,51.409929352742,51.9033030505061
"4","Fraxinus excelsior","FREX_06","2020-09-23",50.3284431432235,51.3151832797034,51.8783656887458
"4","Fraxinus excelsior","FREX_07","2020-09-23",50.1373947174861,51.2509789395567,51.8878235831952
"4","Fraxinus excelsior","FREX_08","2020-09-23",49.7158001519901,51.1015072696039,51.897395748287
